id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,HUMBLE.,Kendrick Lamar,hip hop,intense,0.62,150,0.42,0.90,0.00
12,Take Me Home Country Roads,John Denver,country,happy,0.45,82,0.77,0.55,0.52
13,Three Little Birds,Bob Marley,reggae,happy,0.55,76,0.80,0.70,0.21
14,Clair de Lune,Claude Debussy,classical,relaxed,0.06,66,0.21,0.20,0.98
15,The Thrill Is Gone,B.B. King,blues,moody,0.41,96,0.33,0.61,0.28
16,Uptown Funk,Mark Ronson ft. Bruno Mars,funk,happy,0.61,115,0.93,0.86,0.01
17,Stayin' Alive,Bee Gees,disco,happy,0.79,104,0.81,0.71,0.09
18,Enter Sandman,Metallica,metal,intense,0.90,123,0.40,0.50,0.00
19,No Diggity,Blackstreet,r&b,moody,0.59,92,0.58,0.80,0.13
20,Levels,Avicii,electronic,intense,0.83,126,0.51,0.58,0.02
